,전국,강원,경기권,경남권,경북권,부산,서울,전라권,제주,충청권,periods
0,61439.897303846614,50833.65184020211,49410.2481731495,66232.74698359499,42576.71592659121,63997.8625976528,77423.2720666085,52060.403834971694,69751.6459222157,44437.631595512736,2023-04-01
1,59273.58382529646,49949.655584350505,47985.502359433216,60061.67996843609,34296.23720490342,60759.8144776157,73192.48390506409,50398.481483714764,67482.05036236568,43617.270485775676,2023-05-01
2,59241.58368944505,52903.882004415784,46920.06974127654,56385.375563744834,36318.39160624806,62010.79283301966,72724.22613924429,46033.46783685652,67954.50602401816,42470.3700927413,2023-06-01
3,73744.46312862559,86766.59924198865,55757.90518697575,76701.95232372361,43580.16011001116,77015.36710812931,73078.08560207,62513.88731435567,78778.11347082883,56871.13893704997,2023-07-01
4,81385.59647317068,106059.9349925528,59642.855742115615,94296.15793705577,45558.77764557582,88922.56872468379,69789.66493716298,72202.19831516419,84880.1187061527,62817.76475719526,2023-08-01
5,62665.2790398299,57367.21500791742,52022.91328368993,66662.65575094022,47270.14240472447,63770.47107775368,73852.53260260526,54217.03770140881,66718.26617869611,48537.145617819064,2023-09-01
6,63485.48998326487,51119.05901360764,50858.7021072018,64973.36113032155,47674.1012169309,69369.30801250933,83450.55267593513,53188.10810345537,65696.79590720688,46921.29359762811,2023-10-01
7,54912.060569872425,44769.815779952,46105.049343482206,55687.983844579314,40729.97373330045,56430.09688968197,71025.08685087023,45156.83758913537,56140.59550415157,40969.026311053996,2023-11-01
8,67722.22863233788,71004.2693428609,55303.932972855844,67426.71317343149,50284.05475312276,70341.39110663661,79710.92839969747,53744.06296045287,67556.56573864953,48709.51219853807,2023-12-01
9,50373.55229076057,51550.847724255196,39164.1542747687,50914.47464746952,40537.76287074125,58009.80329920683,50515.39971840614,38321.88512344038,60337.82752136481,37215.5621273702,2024-01-01
10,59160.284223219984,58892.07136389565,47338.87272239783,67919.15300887937,47057.33415492252,70264.1279840263,61641.18052680849,48394.643433185905,63587.042908111325,43384.60418346911,2024-02-01
11,57030.0009626641,43929.21443833739,43981.44569982718,57798.870702773755,44222.02680174786,57316.80430949725,77472.11071878794,41242.099654544094,62005.500364481966,41418.81495273149,2024-03-01
12,64236.38621110491,49368.22255546299,48070.9856502564,61252.0856791704,41317.69375386629,65736.08319210938,87592.40228682579,47382.686847071134,73576.84696036286,42169.14556791549,2024-04-01
13,57311.332652608224,44731.57073090472,44947.062111665,52415.71026270345,42880.08559586989,58015.37167134111,72573.33415144327,43863.977127048354,69762.47904727035,41673.37850012974,2024-05-01
14,64243.70883341884,59917.45670019802,50858.7428015122,65016.52040648492,39198.83671152904,64376.79385097751,78816.35800122151,46960.75538998155,72796.94131658251,50364.693848277144,2024-06-01
